id,longitude,latitude,gps_height,quality_group,district_code,region_code,extraction_type,waterpoint_type
0,33.1258283,-5.11815407,0,milky,3,14,afridev,hand pump
1,34.77071669,-9.39564152,1978,good,4,11,other - rope pump,hand pump
2,36.11505595,-6.27926803,0,good,4,1,mono,communal standpipe multiple
3,37.14743219,-3.18755455,1639,good,5,3,gravity,communal standpipe
4,36.16489341,-6.09928949,0,good,4,1,nira/tanira,hand pump
5,39.28612441,-6.97240273,28,good,43,60,submersible,communal standpipe multiple
6,33.2298797,-3.85298271,0,good,3,17,other,other
7,36.31361889,-6.71925716,0,milky,1,1,other,improved spring
8,35.93944483,-6.0143582,0,good,5,1,mono,communal standpipe multiple
9,31.69337116,-2.53070326,0,good,8,18,mono,communal standpipe multiple
11,38.66363897,-5.80574551,64,salty,5,4,submersible,communal standpipe
12,36.75623102,-3.37377239,1332,good,7,2,gravity,communal standpipe
15,0,-2.00E-08,0,good,2,19,other,other
16,35.33371331,-10.46963842,1014,good,2,10,gravity,communal standpipe
17,36.6242931,-3.27627358,1606,good,2,2,gravity,communal standpipe
18,36.52429909,-6.18081796,0,salty,3,1,mono,communal standpipe multiple
19,39.73442461,-10.56919171,226,good,1,99,mono,communal standpipe multiple
20,29.9017787,-4.54070514,1257,good,2,16,gravity,communal standpipe multiple
21,36.24520535,-6.01976068,0,good,4,1,mono,communal standpipe multiple
22,39.08618257,-6.98584173,76,salty,2,7,other,communal standpipe
23,36.90446349,-7.04115037,503,good,1,5,other,other
24,38.79817881,-5.11774781,209,good,3,4,gravity,communal standpipe
25,30.6133054,-3.89456056,1348,good,1,16,nira/tanira,hand pump
26,35.16628855,-11.12649089,949,good,3,10,gravity,communal standpipe
27,35.14248718,-10.68130664,964,good,3,10,gravity,communal standpipe
28,33.67866896,-9.39280717,0,good,4,12,gravity,communal standpipe
30,36.26156712,-2.91372787,2125,good,6,2,gravity,communal standpipe
31,37.23636547,-11.0093196,576,good,1,10,gravity,communal standpipe
33,32.20261888,-3.56536721,0,good,5,17,nira/tanira,hand pump
34,32.68545707,-3.88066172,0,good,3,17,other,other
35,38.62281664,-10.84995836,334,colored,63,90,other,other
36,38.81067002,-10.57478308,328,salty,33,90,mono,communal standpipe multiple
38,35.62256149,-3.49258308,1400,good,30,24,gravity,communal standpipe
39,37.19319005,-6.00737818,0,salty,1,5,swn 80,hand pump
40,37.57907883,-7.08295779,1636,good,6,5,gravity,communal standpipe
41,39.22806629,-6.90360466,5,good,2,7,submersible,communal standpipe
42,37.70564203,-4.1134011,811,good,3,3,submersible,communal standpipe
43,32.98484421,-2.06895007,1324,good,1,19,other,communal standpipe multiple
44,38.17890131,-5.45940089,521,good,6,4,submersible,communal standpipe
45,29.69171656,-4.84022317,836,salty,3,16,other,other
46,36.1516465,-6.13749281,0,good,4,1,nira/tanira,hand pump
48,34.29470243,-9.45515657,1707,good,3,11,gravity,communal standpipe
49,37.42766707,-3.29140973,1578,good,4,3,gravity,communal standpipe
50,0,-2.00E-08,0,good,6,19,nira/tanira,hand pump
51,38.46468013,-4.8630613,1209,good,1,4,gravity,communal standpipe
52,34.92179309,-10.53073581,846,good,3,10,gravity,communal standpipe
54,34.60465222,-1.8288033,1517,good,2,20,other - rope pump,hand pump
55,37.2029845,-3.22870286,1335,good,5,3,gravity,communal standpipe
56,33.50747984,-3.14732354,0,good,2,17,gravity,communal standpipe
60,32.90903447,-4.14873073,0,good,1,14,nira/tanira,hand pump
62,33.23293362,-8.95038442,0,salty,2,12,submersible,communal standpipe
63,30.68034474,-2.55498937,0,good,30,18,gravity,communal standpipe
64,36.98966153,-3.30475307,1086,good,7,2,gravity,communal standpipe
65,36.92413731,-3.35765548,1228,good,7,2,gravity,communal standpipe
66,38.98673862,-10.32394824,324,good,53,80,submersible,communal standpipe
67,32.38806605,-2.49547012,0,good,5,19,nira/tanira,hand pump
68,39.27075073,-10.59863978,668,good,33,90,submersible,communal standpipe
69,35.72038601,-10.79688192,879,good,2,10,gravity,communal standpipe
70,32.9158193,-9.21689238,0,good,6,12,nira/tanira,hand pump
71,35.76982836,-8.09702225,1855,good,7,11,gravity,communal standpipe
73,39.76871074,-10.74511789,204,good,4,9,submersible,communal standpipe multiple
74,33.17599556,-3.91776252,0,good,3,17,windmill,communal standpipe
75,34.5688417,-8.91716508,1397,good,4,11,gravity,other
76,34.42211126,-2.00498515,1394,good,2,20,gravity,communal standpipe
77,39.07968216,-7.01283529,72,salty,2,7,submersible,communal standpipe
78,37.69294503,-11.17178117,402,salty,1,10,swn 80,hand pump
79,32.5764234,-4.15766333,0,milky,3,17,nira/tanira,hand pump
80,34.86029219,-4.66133264,1577,unknown,2,13,other,other
81,0,-2.00E-08,0,salty,2,19,other,other
82,36.64542638,-3.30626376,1561,good,2,2,gravity,communal standpipe
84,33.29236993,-4.1546439,0,good,1,14,afridev,hand pump
86,32.86307623,-3.94064223,0,good,1,14,afridev,hand pump
87,38.09689218,-11.12009985,319,good,63,90,other,other
88,34.0994224,-2.88591624,1338,salty,1,17,nira/tanira,hand pump
89,36.08978232,-6.6907959,0,good,1,1,gravity,communal standpipe multiple
91,37.3182742,-3.31307844,986,good,6,3,submersible,communal standpipe multiple
92,30.97765072,-3.29204969,1223,good,1,16,gravity,communal standpipe multiple
93,35.63182868,-10.26251276,901,good,2,10,india mark ii,hand pump
94,35.86888413,-6.42051509,0,good,4,1,mono,communal standpipe
95,32.2508785,-5.00600086,0,good,4,14,other,other
96,33.12408444,-2.51594104,0,good,2,19,other,hand pump
97,38.90589269,-6.83757347,115,good,2,6,other,hand pump
98,34.22055083,-1.22615201,1381,good,6,20,submersible,communal standpipe multiple
102,30.38643948,-5.57267411,1294,good,1,15,other,hand pump
103,35.13808557,-7.82937269,955,good,1,11,gravity,communal standpipe
104,35.80579423,-8.25195352,1989,good,7,11,gravity,communal standpipe
105,37.56971427,-6.23019036,328,good,6,5,swn 80,hand pump
106,36.70350176,-8.09048559,269,colored,3,5,other,hand pump
107,38.54936539,-5.06253517,296,good,2,4,nira/tanira,hand pump
108,34.81968824,-11.31223017,447,good,3,10,gravity,communal standpipe
109,33.70164701,-4.77534553,0,milky,2,14,nira/tanira,hand pump
111,32.38940914,-3.32611565,0,milky,3,17,other,other
112,38.34276796,-6.60873088,128,good,1,6,ksb,communal standpipe
113,33.9642658,-3.12266146,0,good,2,17,swn 80,hand pump
114,38.17085213,-6.83867874,159,good,2,5,gravity,communal standpipe
115,38.97191512,-5.45493738,10,good,5,4,nira/tanira,hand pump
116,39.3721601,-10.64473181,439,good,33,90,submersible,communal standpipe
117,33.17283392,-4.05622587,0,good,1,14,afridev,hand pump
118,34.14097761,-9.31375993,2288,good,3,11,gravity,communal standpipe
119,33.85951375,-8.68364185,0,good,7,12,gravity,communal standpipe
120,31.52366437,-1.73718593,0,good,3,18,gravity,improved spring
121,37.9863594,-4.26522761,1493,good,3,3,gravity,communal standpipe
122,34.67625091,-1.86842589,1585,good,2,20,nira/tanira,hand pump
123,34.29461109,-1.68476703,1267,good,2,20,other - rope pump,hand pump
124,32.75277846,-5.6259369,0,good,5,14,gravity,communal standpipe
125,33.14929228,-4.09892054,0,salty,1,14,ksb,communal standpipe
126,38.36233393,-4.8689082,1345,good,1,4,gravity,communal standpipe
128,34.54044352,-9.3179014,2137,good,4,11,gravity,communal standpipe
129,37.89695927,-4.24482577,1671,good,3,3,gravity,communal standpipe
130,30.21324257,-4.49770051,1323,good,2,16,gravity,communal standpipe
132,34.63419241,-9.05902235,1648,good,4,11,gravity,communal standpipe
133,34.84447743,-8.55744189,1314,good,2,11,gravity,communal standpipe
134,37.05876388,-3.50113971,864,good,4,21,submersible,communal standpipe
136,36.59341414,-6.05093615,0,salty,3,1,mono,communal standpipe multiple
137,0,-2.00E-08,0,good,6,19,other,communal standpipe
138,33.6462395,-8.98618262,0,good,2,12,gravity,communal standpipe
139,33.59950486,-9.20293416,0,good,4,12,gravity,communal standpipe
140,37.46742136,-3.39230502,777,good,4,3,gravity,communal standpipe
142,34.92201036,-9.15652552,1728,good,4,11,other - rope pump,hand pump
144,37.67651987,-3.32219182,944,good,1,3,gravity,communal standpipe
145,35.38750678,-10.70761051,931,good,2,10,gravity,communal standpipe
146,35.23659388,-8.5250375,1830,good,2,11,swn 80,hand pump
147,34.33027403,-4.09095092,1033,good,1,13,nira/tanira,hand pump
148,39.12479531,-9.90253564,283,good,53,80,gravity,communal standpipe multiple
149,32.86745043,-9.21134985,0,good,6,12,gravity,other
150,38.98985601,-7.9511104,-19,good,53,60,submersible,communal standpipe
151,33.80972891,-3.83130838,0,good,8,17,gravity,communal standpipe multiple
152,38.35306994,-4.8992326,1237,good,1,4,gravity,communal standpipe
153,35.0026992,-10.94757651,1245,good,3,10,gravity,communal standpipe
