id,status_group
0,2
1,0
2,0
3,0
4,2
5,0
6,2
7,0
8,2
9,2
11,2
12,2
15,2
16,2
17,0
18,0
19,0
20,1
21,2
22,0
23,2
24,2
25,2
26,0
27,2
28,0
30,0
31,2
33,0
34,2
35,2
36,0
38,0
39,0
40,0
41,0
42,0
43,2
44,0
45,2
46,0
48,0
49,0
50,0
51,2
52,0
54,2
55,0
56,1
60,0
62,0
63,2
64,0
65,0
66,2
67,0
68,2
69,0
70,2
71,2
73,2
74,2
75,2
76,0
77,0
78,0
79,0
80,2
81,2
82,2
84,0
86,0
87,2
88,1
89,2
91,2
92,2
93,0
94,0
95,2
96,2
97,2
98,2
102,2
103,0
104,2
105,0
106,0
107,0
108,0
109,0
111,2
112,2
113,0
114,2
115,0
116,0
117,0
118,0
119,2
120,0
121,0
122,2
123,0
124,0
125,2
126,0
128,0
129,1
130,2
132,2
133,2
134,0
136,2
137,0
138,2
139,0
140,0
142,0
144,2
145,2
146,0
147,2
148,2
149,1
150,0
151,0
152,2
153,2
157,2
158,0
159,1
160,0
161,0
162,2
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
173,0
174,2
175,0
176,1
177,2
178,0
179,1
180,2
181,2
182,0
183,1
184,0
185,0
186,0
187,2
189,0
190,0
191,0
192,0
193,2
194,1
195,0
196,2
197,0
198,2
199,0
200,0
201,0
202,0
203,2
204,0
205,0
206,0
207,0
209,0
210,2
212,0
213,0
214,2
215,2
218,0
221,0
222,2
223,0
224,0
225,2
226,0
227,0
229,1
230,0
231,0
233,2
234,0
235,2
236,0
237,1
238,0
240,0
241,0
242,2
244,2
245,0
246,2
248,0
249,0
250,0
252,0
253,2
254,0
256,0
257,2
258,1
260,0
261,0
262,0
264,2
265,2
266,0
267,0
268,1
269,0
271,0
272,0
274,2
275,2
276,2
278,0
279,2
280,2
281,0
283,0
284,2
285,2
287,0
288,2
289,0
290,2
291,0
292,0
294,2
295,0
296,0
297,0
298,0
299,2
300,0
301,0
302,0
305,0
306,2
307,2
308,0
310,2
311,0
312,0
313,1
314,0
315,1
316,2
317,0
318,2
319,0
321,2
323,2
325,0
326,1
327,2
328,0
330,0
331,0
332,2
333,2
334,2
335,2
336,2
337,0
338,2
339,0
342,0
343,2
344,0
345,2
346,0
347,0
348,2
349,0
350,2
351,0
352,0
353,2
354,0
355,0
356,0
357,1
361,0
362,0
363,0
366,2
367,0
368,0
369,0
370,0
371,2
373,2
374,0
377,0
378,0
380,0
381,1
382,0
384,2
385,0
386,0
387,2
388,0
391,0
392,2
393,0
394,0
395,2
397,0
398,0
399,0
400,2
401,2
402,2
404,2
406,2
410,2
411,0
412,2
413,1
414,2
415,0
416,0
417,2
420,0
421,0
422,0
423,2
424,2
425,2
426,2
429,0
430,0
431,0
432,2
433,2
434,0
435,0
436,1
437,2
438,2
439,0
440,0
441,2
442,0
443,0
444,0
445,2
446,2
447,0
448,0
449,0
450,2
451,0
452,0
454,0
455,2
456,0
457,2
458,0
459,2
460,2
461,2
462,1
463,0
464,2
465,0
468,2
469,0
471,0
472,2
474,0
475,0
476,0
477,2
478,0
479,0
480,1
481,2
482,0
483,2
484,0
485,0
486,2
487,0
488,0
489,1
490,0
491,0
492,2
493,0
494,1
495,0
498,0
500,0
501,0
502,2
504,0
505,0
506,0
509,2
510,0
511,0
512,1
513,0
514,0
515,2
516,0
517,0
518,0
520,2
521,1
523,0
524,1
525,0
526,1
527,2
529,2
530,2
531,0
532,2
533,1
534,2
535,0
537,0
538,2
539,0
540,2
541,2
542,0
543,0
544,2
545,0
546,2
548,1
549,2
550,0
551,1
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,0
562,2
564,1
565,2
566,2
567,0
569,0
571,0
572,2
573,2
574,2
575,0
576,2
578,2
579,1
580,0
581,2
582,2
583,0
585,2
586,0
587,2
588,0
589,0
590,2
591,0
592,0
593,0
594,2
595,1
596,2
597,0
598,0
599,2
600,2
601,2
602,0
603,0
604,0
605,0
606,0
607,0
609,2
610,2
613,0
614,2
615,0
616,0
617,0
618,0
619,0
620,0
622,2
623,2
624,0
626,2
627,0
628,0
630,2
631,0
632,0
633,2
634,0
636,1
637,0
638,0
639,0
640,0
641,2
642,2
644,0
645,0
648,0
649,2
650,2
651,1
652,2
654,2
655,0
656,2
657,2
658,2
659,2
661,0
662,0
664,2
665,0
666,0
667,0
668,0
669,0
670,0
672,2
673,0
674,0
675,2
676,1
677,0
678,0
679,1
680,2
681,1
683,2
684,2
686,0
687,0
688,1
689,0
690,1
691,2
692,0
693,0
694,1
695,0
696,0
697,0
699,0
700,0
701,2
702,2
703,0
705,2
706,0
709,0
710,2
711,2
713,2
714,0
715,2
716,0
717,2
718,0
719,2
720,2
721,2
722,2
723,0
724,2
725,0
727,0
728,0
729,2
730,0
732,2
733,0
734,0
735,0
736,2
738,0
739,0
740,0
741,2
742,1
744,0
745,0
746,0
747,0
748,0
749,0
750,2
751,0
753,2
754,0
756,2
757,2
758,0
759,2
760,2
761,0
763,2
764,0
765,0
766,2
767,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,2
777,0
778,2
779,0
780,2
781,2
782,2
783,0
784,0
785,2
786,2
787,0
788,2
791,2
792,0
793,1
794,2
795,0
796,0
797,0
798,2
800,2
801,2
802,0
803,2
804,2
805,0
806,0
808,0
810,0
811,0
812,2
813,0
814,2
815,0
816,0
818,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,2
828,2
829,2
831,0
832,2
834,0
836,0
837,2
838,2
839,2
841,0
842,0
843,0
844,0
846,2
847,0
850,0
851,0
852,2
853,0
854,0
855,0
856,0
857,2
859,2
860,0
861,0
863,0
864,0
866,0
867,2
869,1
870,2
871,2
872,1
874,0
875,2
876,0
877,0
878,0
879,2
880,0
881,2
883,0
885,0
887,1
888,0
890,0
892,0
896,0
897,0
900,2
903,2
905,0
906,2
909,0
910,0
916,2
919,0
921,2
922,2
923,2
924,2
925,0
926,2
928,0
929,0
930,0
931,0
932,0
934,0
935,2
937,2
938,2
939,2
940,2
942,0
943,2
944,2
946,0
947,1
948,2
950,0
951,1
953,0
954,2
956,2
957,0
960,2
961,0
962,0
964,0
966,0
967,1
968,0
969,0
971,0
972,2
977,0
978,0
979,0
980,2
981,2
982,0
983,0
984,0
985,0
987,0
988,2
989,1
990,0
991,0
993,0
994,0
995,0
996,0
998,0
999,2
1002,2
1004,0
1006,1
1007,0
1008,0
1009,0
1011,0
1012,2
1013,0
1014,2
1015,1
1016,0
1017,0
1019,0
1021,0
1022,2
1025,0
1026,0
1027,1
1029,2
1030,2
1031,0
1032,0
1033,0
1034,2
1035,1
1036,0
1037,0
1038,2
1039,0
1040,2
1041,0
1042,0
1043,2
1044,1
1045,2
1046,0
1047,0
1050,2
1052,0
1053,0
1054,2
1055,1
1056,0
1057,0
1058,0
1059,0
1060,2
1061,2
1062,0
1063,2
1064,2
1066,2
1067,2
1068,0
1069,2
1070,2
1071,2
1072,0
1073,2
1074,2
1075,2
1076,0
1077,0
1078,0
1079,0
1080,0
1082,0
1083,2
1085,2
1086,0
1087,0
1088,0
1089,0
1091,2
1092,0
1093,2
1094,0
1095,0
1096,0
1097,0
1100,0
1101,2
1102,0
1104,2
1105,0
1106,2
1107,0
1108,2
1109,0
1110,0
1113,1
1114,2
1115,0
1116,0
1117,2
1118,0
1119,2
1120,0
1123,0
1124,2
1125,2
1126,2
1127,0
1128,2
1129,2
1130,0
1132,2
1133,0
1134,2
1135,1
1136,0
1138,2
1139,0
1140,0
1141,0
1142,2
1144,0
1145,0
1146,0
1147,2
1148,0
1150,0
1151,2
1152,0
1153,0
1154,2
1155,0
1156,0
1157,2
1158,0
1159,2
1160,0
1161,0
1162,0
1165,0
1166,0
1167,1
1168,0
1169,2
1170,2
1171,0
1173,2
1174,0
1175,0
1176,0
1179,0
1180,0
1181,0
1182,0
1184,2
1185,0
1186,0
1187,0
1189,0
1190,2
1191,0
1192,0
1193,0
1194,0
1196,0
1197,2
1199,0
1200,0
1201,0
1202,2
1203,0
1204,2
1205,2
1206,0
1208,0
1209,0
1210,0
1212,2
1213,0
1214,2
1216,0
1217,0
1218,2
1220,0
1221,0
1222,2
1224,2
1225,2
1226,0
1227,2
1229,0
1230,2
1231,2
1232,2
1234,2
1235,2
1236,0
1237,0
1239,0
1240,2
1241,1
1242,0
1243,0
1244,1
1245,0
1246,2
1247,2
1248,1
1249,2
1250,2
1251,0
1253,0
1254,0
1255,0
1258,0
1259,2
1260,0
1261,2
1262,0
1263,2
1264,0
1266,2
1267,0
1268,0
1269,2
1270,0
1273,0
1275,2
1276,0
1277,0
1278,0
1279,2
1280,0
1281,0
1282,0
1284,2
1285,0
1286,0
1287,2
1288,2
1289,0
1292,2
1293,0
1294,0
1295,0
1296,0
1297,0
1298,2
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,2
1307,2
1308,1
1309,2
1310,0
1311,2
1314,2
1315,2
1316,0
1317,0
1318,1
1319,1
1321,2
1322,2
1323,0
1324,0
1325,0
1326,2
1327,0
1328,2
1330,0
1331,2
1333,2
1335,1
1336,0
1337,0
1338,2
1339,1
1340,2
1342,2
1343,2
1345,0
1346,2
1347,2
1348,0
1349,0
1351,0
1352,2
1353,0
1354,0
1355,0
1356,2
1357,2
1358,0
1359,2
1360,2
1362,0
1363,0
1364,0
1366,1
1367,0
1368,2
1369,2
1371,2
1373,0
1374,0
1375,2
1376,0
1377,1
1378,0
1380,2
1381,2
1382,1
1383,2
1384,0
